ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-02-12T11:37:38Z,dmurat125,ios,557,TR,176.54.54.219,unknown,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,,,,clickrow,endplay,false,true,false,1676201858,false
2023-02-12T11:43:27Z,dmurat125,ios,284664,TR,176.54.54.219,unknown,KHRBR,Ati242,KHRBR,spotify:track:5GKPjeEbJOiV28JLtCe5hN,,,,clickrow,trackdone,false,false,false,1676201858,false
2023-02-12T11:47:07Z,dmurat125,ios,220487,TR,176.54.54.219,unknown,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,,,,trackdone,trackdone,false,false,false,1676202207,false
2023-02-12T11:50:34Z,dmurat125,ios,92,TR,176.54.54.219,unknown,"Holy Key (feat. Big Sean, Kendrick Lamar & Betty Wright)",DJ Khaled,Major Key,spotify:track:1fG3GhVjjllIurQSNKiQgx,,,,fwdbtn,fwdbtn,false,true,false,1676202634,false
2023-02-12T11:50:34Z,dmurat125,ios,204610,TR,176.54.54.219,unknown,MAFIA,Travis Scott,ESCAPE PLAN / MAFIA,spotify:track:08F16baYbciTva9P4BvpiI,,,,trackdone,fwdbtn,false,true,false,1676202428,false
2023-02-12T11:50:36Z,dmurat125,ios,2554,TR,176.54.54.219,unknown,Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,spotify:track:0M9ydKzuF3oZTfYYPfaGX1,,,,fwdbtn,fwdbtn,false,true,false,1676202634,false
2023-02-12T11:52:36Z,dmurat125,ios,62995,TR,176.54.54.219,unknown,Zehirli Melodiler,Vio,Zehirli Melodiler,spotify:track:43ZHUK8AEUlBCHlbQyc4fJ,,,,fwdbtn,endplay,false,true,false,1676202637,false
2023-02-12T11:57:03Z,dmurat125,ios,254815,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,fwdbtn,false,true,false,1676202756,false
2023-02-12T11:57:50Z,dmurat125,ios,46370,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,fwdbtn,unexpected-exit-while-paused,false,false,false,1676203024,false
2023-02-12T20:04:39Z,dmurat125,ios,53674,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,appload,endplay,false,true,false,1676232223,false
